isolate,endophyte_present,rep,trial,endophyte_strain,colony_area_Fg,colony_area_endophyte,plug_area,colony_area_Fg_minusplug,colony_area_endophyte_minusplug,area_unocupied,date_assesed,date_started,dpi,area_petridish,percent_occupied_Fg,FS
760,yes,2,1,40,3.104,53.64101731,0.282743339,2.821256661,53.35827397,0,8/22/19,8/8/19,14,56.74501731,4.971813906,na
760,yes,2,1,70,3.347,52.73401731,0.282743339,3.064256661,52.45127397,0.664,8/22/19,8/8/19,14,56.74501731,5.400045337,na
760,yes,1,1,40,3.515,53.23001731,0.282743339,3.232256661,52.94727397,0,8/22/19,8/8/19,14,56.74501731,5.696106574,na
760,yes,2,1,37,4.8,44.236,0.282743339,4.517256661,43.95325666,7.709017305,8/22/19,8/8/19,14,56.74501731,7.960622581,na
760,yes,1,1,37,4.96,44.566,0.282743339,4.677256661,44.28325666,7.219017305,8/22/19,8/8/19,14,56.74501731,8.242585664,na
760,yes,3,1,37,7.665,45.988,0.282743339,7.382256661,45.70525666,3.092017305,8/22/19,8/8/19,14,56.74501731,13.00952403,na
760,no,1,1,no endophyte,18.843,0,0.282743339,18.56025666,-0.282743339,37.90201731,8/22/19,8/8/19,14,56.74501731,32.70816988,na
760,no,2,1,no endophyte,29.98,0,0.282743339,29.69725666,-0.282743339,26.76501731,8/22/19,8/8/19,14,56.74501731,52.3345627,na
760,no,3,1,no endophyte,37.982,0,0.282743339,37.69925666,-0.282743339,18.76301731,8/22/19,8/8/19,14,56.74501731,66.43624137,na
760,yes,2,1,70,2.141,na,0.282743339,3.064256661,52.45127397,0.664,8/26/19,8/8/19,18,56.74501731,3.773018498,na
760,yes,1,1,70,2.546,na,0.282743339,2.392256661,53.78727397,0,8/26/19,8/8/19,18,56.74501731,4.486737551,na
760,yes,2,1,40,2.891,na,0.282743339,2.821256661,53.35827397,0,8/26/19,8/8/19,18,56.74501731,5.094720448,na
760,yes,1,1,40,3.253,na,0.282743339,3.232256661,52.94727397,0,8/26/19,8/8/19,18,56.74501731,5.732661922,na
760,yes,3,1,40,3.593,na,0.282743339,2.799256661,53.38027397,0,8/26/19,8/8/19,18,56.74501731,6.331833472,na
760,yes,3,1,70,3.667,na,0.282743339,2.226256661,53.95327397,0,8/26/19,8/8/19,18,56.74501731,6.462241398,na
760,yes,1,1,37,5.38,na,0.282743339,4.677256661,44.28325666,7.219017305,8/26/19,8/8/19,18,56.74501731,9.481008651,na
760,yes,3,1,37,5.65,na,0.282743339,7.382256661,45.70525666,3.092017305,8/26/19,8/8/19,18,56.74501731,9.956821352,na
760,yes,2,1,37,8.41,na,0.282743339,4.517256661,43.95325666,7.709017305,8/26/19,8/8/19,18,56.74501731,14.82068453,na
760,no,2,1,no endophyte,18.173,na,0.282743339,29.69725666,-0.282743339,26.76501731,8/26/19,8/8/19,18,56.74501731,32.02571937,na
760,no,3,1,no endophyte,29.85,na,0.282743339,37.69925666,-0.282743339,18.76301731,8/26/19,8/8/19,18,56.74501731,52.60373759,na
760,no,1,1,no endophyte,37.634,na,0.282743339,18.56025666,-0.282743339,37.90201731,8/26/19,8/8/19,18,56.74501731,66.32124155,na
760,no,1,2,no endophyte,0.282743339,0.282743339,0.282743339,0,0,56.17953063,8/8/19,8/8/19,0,56.74501731,0,na
760,no,2,2,no endophyte,0.282743339,0.282743339,0.282743339,0,0,56.17953063,8/8/19,8/8/19,0,56.74501731,0,na
760,no,3,2,no endophyte,0.282743339,0.282743339,0.282743339,0,0,56.17953063,8/8/19,8/8/19,0,56.74501731,0,na
760,yes,1,2,37,0.282743339,0.282743339,0.282743339,0,0,56.17953063,8/8/19,8/8/19,0,56.74501731,0,na
760,yes,2,2,37,0.282743339,0.282743339,0.282743339,0,0,56.17953063,8/8/19,8/8/19,0,56.74501731,0,na
760,yes,3,2,37,0.282743339,0.282743339,0.282743339,0,0,56.17953063,8/8/19,8/8/19,0,56.74501731,0,na
760,yes,1,2,40,0.282743339,0.282743339,0.282743339,0,0,56.17953063,8/8/19,8/8/19,0,56.74501731,0,na
760,yes,2,2,40,0.282743339,0.282743339,0.282743339,0,0,56.17953063,8/8/19,8/8/19,0,56.74501731,0,na
760,yes,3,2,40,0.282743339,0.282743339,0.282743339,0,0,56.17953063,8/8/19,8/8/19,0,56.74501731,0,na
760,yes,1,2,70,0.282743339,0.282743339,0.282743339,0,0,56.17953063,8/8/19,8/8/19,0,56.74501731,0,na
760,yes,2,2,70,0.282743339,0.282743339,0.282743339,0,0,56.17953063,8/8/19,8/8/19,0,56.74501731,0,na
760,yes,3,2,70,0.282743339,0.282743339,0.282743339,0,0,56.17953063,8/8/19,8/8/19,0,56.74501731,0,na
760,yes,2,2,70,1.267,na,0.282743339,0,0,56.17953063,8/26/19,8/30/19,4,56.74501731,2.23279516,na
760,yes,1,2,70,1.384,na,0.282743339,0,0,56.17953063,8/26/19,8/30/19,4,56.74501731,2.438980664,na
760,yes,1,2,40,1.61,na,0.282743339,0,0,56.17953063,8/26/19,8/30/19,4,56.74501731,2.837253518,na
760,yes,2,2,40,1.952,na,0.282743339,0,0,56.17953063,8/26/19,8/30/19,4,56.74501731,3.439949607,na
760,yes,3,2,40,2.091,na,0.282743339,0,0,56.17953063,8/26/19,8/30/19,4,56.74501731,3.684905035,na
760,yes,3,2,70,2.578,na,0.282743339,0,0,56.17953063,8/26/19,8/30/19,4,56.74501731,4.543130168,na
760,yes,3,2,37,4.484,na,0.282743339,0,0,56.17953063,8/26/19,8/30/19,4,56.74501731,7.902015388,na
760,yes,1,2,37,4.796,na,0.282743339,0,0,56.17953063,8/26/19,8/30/19,4,56.74501731,8.451843399,na
760,no,1,2,no endophyte,8.446,na,0.282743339,0,0,56.17953063,8/26/19,8/30/19,4,56.74501731,14.88412622,na
760,no,2,2,no endophyte,9.122,na,0.282743339,0,0,56.17953063,8/26/19,8/30/19,4,56.74501731,16.07542024,na
760,no,3,2,no endophyte,10.364,na,0.282743339,0,0,56.17953063,8/26/19,8/30/19,4,56.74501731,18.26415867,na
760,yes,2,2,37,12.91,na,0.282743339,0,0,56.17953063,8/26/19,8/30/19,4,56.74501731,22.75089622,na
760,yes,3,2,70,2.519,na,0.282743339,0,0,56.17953063,8/26/19,9/6/19,11,56.74501731,4.439156281,na
760,yes,2,2,70,2.675,na,0.282743339,0,0,56.17953063,8/26/19,9/6/19,11,56.74501731,4.714070286,na
760,yes,1,2,40,3.202,na,0.282743339,0,0,56.17953063,8/26/19,9/6/19,11,56.74501731,5.64278619,na
760,yes,3,2,40,3.235,na,0.282743339,0,0,56.17953063,8/26/19,9/6/19,11,56.74501731,5.700941075,na
760,yes,2,2,40,3.303,na,0.282743339,0,0,56.17953063,8/26/19,9/6/19,11,56.74501731,5.820775385,na
760,yes,1,2,70,3.774,na,0.282743339,0,0,56.17953063,8/26/19,9/6/19,11,56.74501731,6.65080421,na
760,yes,2,2,37,17.973,na,0.282743339,0,0,56.17953063,8/26/19,9/6/19,11,56.74501731,31.67326552,na
760,yes,3,2,37,19.32,na,0.282743339,0,0,56.17953063,8/26/19,9/6/19,11,56.74501731,34.04704222,na
