endophyte,rep,trial,fg,colony_area
70,3,3,PH-1,na
no endophyte,1,3,24a,na
no endophyte,2,3,24a,na
no endophyte,3,3,24a,na
no endophyte,1,3,76j,na
no endophyte,2,3,76j,na
no endophyte,3,3,76j,na
no endophyte,1,3,93D,na
no endophyte,2,3,93D,na
no endophyte,3,3,93D,na
no endophyte,1,3,107H,na
no endophyte,2,3,107H,na
no endophyte,3,3,107H,na
no endophyte,1,3,107M,na
no endophyte,2,3,107M,na
no endophyte,3,3,107M,na
no endophyte,1,3,760,na
no endophyte,2,3,760,na
no endophyte,3,3,760,na
no endophyte,1,3,PH-1,na
no endophyte,2,3,PH-1,na
no endophyte,3,3,PH-1,na
